Detail results of the state of the art classifiers:


+-----------+----------------------+-----------------------+----------------------+----------------------+-----------------------+
| Algorithm |       Accuracy       |       Precision       |        Recall        |          F1          |    Execution Time     |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0009810924530029297 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007129192352294922  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006630420684814453 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |     0.05419921875     |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007096052169799805  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006289482116699219 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0009772777557373047 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007151126861572266  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006639957427978516 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05347394943237305  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007086992263793945  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006530284881591797 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0009648799896240234 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007127046585083008  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006489753723144531 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05332303047180176  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007046937942504883  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006017684936523438 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0009720325469970703 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007147073745727539  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006577968597412109 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05344796180725098  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.0070781707763671875 |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006058216094970703 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0009741783142089844 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 |  0.00710296630859375  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006680488586425781 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05358695983886719  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  |  0.00721287727355957  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.000614166259765625  |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0009987354278564453 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007245063781738281  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006639957427978516 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05371904373168945  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  |  0.00722503662109375  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006358623504638672 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0010030269622802734 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007119655609130859  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006601810455322266 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.0534968376159668   |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.0071048736572265625 |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.000598907470703125  |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 |   0.001007080078125   |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007258892059326172  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006630420684814453 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05356097221374512  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007097959518432617  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0005922317504882812 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.001024007797241211  |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007175922393798828  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006883144378662109 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   | 0.053555965423583984  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007089138031005859  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0005991458892822266 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0009958744049072266 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007202863693237305  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0007097721099853516 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   | 0.054094791412353516  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007214069366455078  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0005919933319091797 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0009648799896240234 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007206916809082031  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006291866302490234 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05399203300476074  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.0070989131927490234 |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006031990051269531 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0009679794311523438 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007292985916137695  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006532669067382812 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05351901054382324  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007055759429931641  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006196498870849609 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.000982046127319336  |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 |  0.00705409049987793  |
